season,player_id,player,kind,touched,yards,epa,fumble_lost
2015,00-0028198,M.Asiata,target,1,-1.0,-0.4345,0
2015,00-0028198,M.Asiata,rush,1,8.0,-0.2722,0
2015,00-0030279,K.Allen,target,1,7.0,0.4163,0
2015,00-0026019,D.Woodhead,rush,1,-4.0,-1.4845,0
2015,00-0025394,A.Peterson,rush,1,43.0,3.6617,0
2015,00-0032144,M.Gordon,rush,1,9.0,0.9182,0
2015,00-0032144,M.Gordon,rush,1,1.0,-0.2261,0
2015,00-0032144,M.Gordon,rush,1,3.0,-0.2531,0
2015,00-0030279,K.Allen,target,0,0.0,-0.7334,0
2015,00-0026019,D.Woodhead,target,1,2.0,-1.2328,0
2015,00-0030035,A.Thielen,target,0,0.0,-0.5737,0
2015,00-0025394,A.Peterson,rush,1,2.0,-0.5053,0
2015,00-0029572,J.Wright,target,1,9.0,1.9614,0
2015,00-0025394,A.Peterson,rush,1,4.0,-0.0075,0
2015,00-0030578,C.Patterson,rush,1,9.0,0.8113,0
2015,00-0031585,M.Pruitt,target,0,0.0,-0.4584,0
2015,00-0030035,A.Thielen,target,1,11.0,1.1654,0
2015,00-0031376,J.McKinnon,rush,1,1.0,-0.4266,0
2015,00-0026901,M.Wallace,target,1,17.0,1.4584,0
2015,00-0025394,A.Peterson,rush,1,10.0,0.5728,0
2015,00-0025394,A.Peterson,rush,1,1.0,-0.3608,0
2015,00-0031376,J.McKinnon,target,0,0.0,-0.6546,0
2015,00-0026901,M.Wallace,target,0,0.0,-0.9942,0
2015,00-0025394,A.Peterson,rush,1,5.0,0.1382,0
2015,00-0025394,A.Peterson,rush,1,11.0,1.5003,0
2015,00-0029931,Z.Line,rush,1,1.0,0.5595,0
2015,00-0032144,M.Gordon,rush,1,13.0,0.8322,0
2015,00-0022414,M.Floyd,target,1,9.0,0.7795,0
2015,00-0032144,M.Gordon,rush,1,-2.0,-1.2746,0
2015,00-0027139,J.Phillips,target,1,5.0,1.3033,0
2015,00-0026019,D.Woodhead,rush,1,2.0,-0.3413,0
2015,00-0030279,K.Allen,target,0,0.0,-0.9213,0
2015,00-0026364,S.Johnson,target,1,30.0,4.6817,0
2015,00-0022414,M.Floyd,target,0,0.0,-0.4171,0
2015,00-0022414,M.Floyd,target,0,0.0,-0.7521,0
2015,00-0026364,S.Johnson,target,0,0.0,-10.5857,0
2015,00-0022414,M.Floyd,target,1,9.0,0.8045,0
2015,00-0032144,M.Gordon,rush,1,3.0,-0.024,0
2015,00-0027139,J.Phillips,target,1,7.0,0.2671,0
2015,00-0026019,D.Woodhead,rush,1,7.0,0.6498,0
2015,00-0030279,K.Allen,target,1,6.0,-0.1014,0
2015,00-0022414,M.Floyd,target,0,0.0,-0.8542,0
2015,00-0026019,D.Woodhead,target,1,8.0,-0.3512,0
2015,00-0031376,J.McKinnon,rush,1,3.0,-0.3127,0
2015,00-0031376,J.McKinnon,rush,1,3.0,-0.1616,0
2015,00-0031585,M.Pruitt,target,0,0.0,-1.6448,0
2015,00-0031277,B.Oliver,rush,1,3.0,-0.2121,0
2015,00-0031277,B.Oliver,rush,1,3.0,-0.1416,0
2015,00-0030279,K.Allen,target,1,6.0,1.2331,0
2015,00-0030279,K.Allen,target,1,14.0,0.7528,0
2015,00-0030279,K.Allen,target,0,0.0,-0.4595,0
2015,00-0031277,B.Oliver,rush,1,3.0,-0.5217,0
2015,00-0026364,S.Johnson,target,1,15.0,1.9197,0
2015,00-0031277,B.Oliver,rush,1,3.0,-0.5875,0
