season,week,game_id,team,opp,home,plays,yards,top_seconds,turnovers,points_for,points_against,win
2016,9,2016_09_NYJ_MIA,NYJ,MIA,0,53,331.0,1778,2,23,27,0
2016,9,2016_09_PHI_NYG,NYG,PHI,1,61,302.0,1640,2,28,23,1
2016,9,2016_09_PHI_NYG,PHI,NYG,0,74,443.0,1960,2,23,28,0
2016,9,2016_09_PIT_BAL,BAL,PIT,1,64,276.0,1930,1,21,14,1
2016,9,2016_09_PIT_BAL,PIT,BAL,0,65,277.0,1670,1,14,21,0
2016,9,2016_09_TEN_SD,LAC,TEN,1,73,476.0,2189,0,43,35,1
2016,9,2016_09_TEN_SD,TEN,LAC,0,62,393.0,1411,3,35,43,0
2016,10,2016_10_ATL_PHI,ATL,PHI,0,48,303.0,1310,1,15,24,0
2016,10,2016_10_ATL_PHI,PHI,ATL,1,77,431.0,2290,1,24,15,1
2016,10,2016_10_CHI_TB,CHI,TB,0,54,283.0,1371,4,10,36,0
2016,10,2016_10_CHI_TB,TB,CHI,1,68,360.0,2229,1,36,10,1
2016,10,2016_10_CIN_NYG,CIN,NYG,0,55,264.0,1717,1,20,21,0
2016,10,2016_10_CIN_NYG,NYG,CIN,1,72,351.0,1883,2,21,20,1
2016,10,2016_10_CLE_BAL,BAL,CLE,1,78,398.0,2316,2,28,7,1
2016,10,2016_10_CLE_BAL,CLE,BAL,0,48,144.0,1284,3,7,28,0
2016,10,2016_10_DAL_PIT,DAL,PIT,0,61,422.0,1824,1,35,30,1
2016,10,2016_10_DAL_PIT,PIT,DAL,1,70,448.0,1776,0,30,35,0
2016,10,2016_10_DEN_NO,DEN,NO,0,83,337.0,2362,2,25,23,1
2016,10,2016_10_DEN_NO,NO,DEN,1,51,373.0,1238,4,23,25,0
2016,10,2016_10_GB_TEN,GB,TEN,0,74,402.0,1829,2,25,47,0
2016,10,2016_10_GB_TEN,TEN,GB,1,60,446.0,1771,1,47,25,1
2016,10,2016_10_HOU_JAX,HOU,JAX,0,61,273.0,1670,0,24,21,1
2016,10,2016_10_HOU_JAX,JAX,HOU,1,74,329.0,1930,2,21,24,0
2016,10,2016_10_KC_CAR,CAR,KC,1,69,341.0,2112,2,17,20,0
2016,10,2016_10_KC_CAR,KC,CAR,0,62,258.0,1488,1,20,17,1
2016,10,2016_10_LA_NYJ,LA,NYJ,0,67,280.0,2069,0,9,6,1
2016,10,2016_10_LA_NYJ,NYJ,LA,1,58,296.0,1353,1,6,9,0
2016,10,2016_10_MIA_SD,LAC,MIA,1,71,379.0,1979,5,24,31,0
2016,10,2016_10_MIA_SD,MIA,LAC,0,50,337.0,1621,0,31,24,1
2016,10,2016_10_MIN_WAS,MIN,WAS,0,64,331.0,1804,1,20,26,0
2016,10,2016_10_MIN_WAS,WAS,MIN,1,62,388.0,1796,1,26,20,1
2016,10,2016_10_SEA_NE,NE,SEA,1,62,385.0,1775,2,24,31,0
2016,10,2016_10_SEA_NE,SEA,NE,0,67,420.0,1825,0,31,24,1
2016,10,2016_10_SF_ARI,ARI,SF,1,74,443.0,1938,5,23,20,1
2016,10,2016_10_SF_ARI,SF,ARI,0,61,281.0,1662,0,20,23,0
2016,11,2016_11_ARI_MIN,ARI,MIN,0,70,290.0,1862,2,24,30,0
2016,11,2016_11_ARI_MIN,MIN,ARI,1,54,217.0,1738,1,30,24,1
2016,11,2016_11_BAL_DAL,BAL,DAL,0,52,368.0,1461,0,17,27,0
2016,11,2016_11_BAL_DAL,DAL,BAL,1,67,417.0,2139,0,27,17,1
2016,11,2016_11_BUF_CIN,BUF,CIN,0,63,342.0,1931,1,16,12,1
2016,11,2016_11_BUF_CIN,CIN,BUF,1,71,300.0,1669,2,12,16,0
2016,11,2016_11_CHI_NYG,CHI,NYG,0,59,315.0,1829,1,16,22,0
2016,11,2016_11_CHI_NYG,NYG,CHI,1,65,329.0,1771,0,22,16,1
2016,11,2016_11_GB_WAS,GB,WAS,0,65,424.0,1823,2,24,42,0
2016,11,2016_11_GB_WAS,WAS,GB,1,64,515.0,1777,0,42,24,1
2016,11,2016_11_HOU_OAK,HOU,LV,0,74,354.0,2313,2,20,27,0
2016,11,2016_11_HOU_OAK,LV,HOU,1,51,325.0,1413,1,27,20,1
2016,11,2016_11_JAX_DET,DET,JAX,1,57,277.0,1625,1,26,19,1
